deviceTime_UTC,deviceTime_local,deviceTime_unix,cpm,cpmError
2020-09-14 04:30:15+0000,2020-09-13 21:30:15-0700,1600057815.46,1.6875,0.08385254915624211
2020-09-14 00:30:15+0000,2020-09-13 17:30:15-0700,1600043415.46,1.6125,0.08196798155377501
2020-09-13 20:30:15+0000,2020-09-13 13:30:15-0700,1600029015.46,1.7708333333333333,0.0858980338670346
2020-09-13 16:30:15+0000,2020-09-13 09:30:15-0700,1600014615.46,1.5791666666666666,0.0811163430580491
2020-09-13 12:30:15+0000,2020-09-13 05:30:15-0700,1600000215.46,1.6791666666666667,0.08364524958285305
2020-09-13 08:35:15+0000,2020-09-13 01:35:15-0700,1599986115.46,1.71304347826087,0.08630188365773568
2020-09-13 04:35:14+0000,2020-09-12 21:35:14-0700,1599971714.37,1.6583333333333334,0.08312473893025002
2020-09-13 00:35:14+0000,2020-09-12 17:35:14-0700,1599957314.37,1.6458333333333333,0.08281086214313246
2020-09-12 20:35:19+0000,2020-09-12 13:35:19-0700,1599942914.37,1.6875,0.08385254915624211
2020-09-12 16:35:14+0000,2020-09-12 09:35:14-0700,1599928514.37,1.5541666666666667,0.08047169964928319
2020-09-12 12:35:14+0000,2020-09-12 05:35:14-0700,1599914114.37,1.6916666666666667,0.08395600699837452
2020-09-12 08:35:14+0000,2020-09-12 01:35:14-0700,1599899714.37,1.675,0.08354140689901426
2020-09-12 04:30:15+0000,2020-09-11 21:30:15-0700,1599885015.46,1.55,0.08036375634160796
2020-09-12 00:30:15+0000,2020-09-11 17:30:15-0700,1599870615.46,1.554166666666667,0.08047169964928319
2020-09-11 20:30:15+0000,2020-09-11 13:30:15-0700,1599856215.46,1.7375,0.08508574106942558
2020-09-11 16:30:15+0000,2020-09-11 09:30:15-0700,1599841815.46,1.5041666666666667,0.07916666666666666
2020-09-11 12:30:15+0000,2020-09-11 05:30:15-0700,1599827415.46,1.8041666666666667,0.08670271686118672
2020-09-11 08:35:15+0000,2020-09-11 01:35:15-0700,1599813315.46,1.6260869565217393,0.08408295480788573
2020-09-11 04:35:14+0000,2020-09-10 21:35:14-0700,1599798914.53,1.7,0.08416254115301731
2020-09-11 00:35:14+0000,2020-09-10 17:35:14-0700,1599784514.53,1.6291666666666667,0.08239049972202163
2020-09-10 20:35:14+0000,2020-09-10 13:35:14-0700,1599770114.53,1.6125,0.08196798155377501
2020-09-10 16:35:14+0000,2020-09-10 09:35:14-0700,1599755714.53,1.6791666666666667,0.08364524958285305
2020-09-10 12:35:14+0000,2020-09-10 05:35:14-0700,1599741314.53,1.5708333333333333,0.08090203266228166
2020-09-10 08:35:14+0000,2020-09-10 01:35:14-0700,1599726914.53,1.7083333333333333,0.0843685697138191
2020-09-10 04:30:15+0000,2020-09-09 21:30:15-0700,1599712215.46,1.554166666666667,0.08047169964928319
2020-09-10 00:30:20+0000,2020-09-09 17:30:20-0700,1599697815.46,1.675,0.08354140689901426
2020-09-09 20:30:15+0000,2020-09-09 13:30:15-0700,1599683415.46,1.575,0.08100925873009826
2020-09-09 16:30:15+0000,2020-09-09 09:30:15-0700,1599669015.46,1.6875,0.08385254915624211
2020-09-09 12:30:15+0000,2020-09-09 05:30:15-0700,1599654615.46,1.45,0.07772815877574013
2020-09-09 08:35:15+0000,2020-09-09 01:35:15-0700,1599640515.46,1.4893617021276597,0.07960973163348811
2020-09-09 04:30:16+0000,2020-09-08 21:30:16-0700,1599625816.56,1.575,0.08100925873009826
2020-09-09 00:30:16+0000,2020-09-08 17:30:16-0700,1599611416.56,1.6583333333333334,0.08312473893025002
2020-09-08 20:30:21+0000,2020-09-08 13:30:21-0700,1599597016.56,1.5625,0.08068715304598785
2020-09-08 16:30:16+0000,2020-09-08 09:30:16-0700,1599582616.56,1.6125,0.08196798155377501
2020-09-08 12:30:16+0000,2020-09-08 05:30:16-0700,1599568216.56,1.6916666666666664,0.08395600699837451
2020-09-08 08:35:16+0000,2020-09-08 01:35:16-0700,1599554116.56,1.5361702127659582,0.08085106382978725
2020-09-08 04:30:15+0000,2020-09-07 21:30:15-0700,1599539415.61,1.4583333333333333,0.07795119555779045
2020-09-08 00:30:15+0000,2020-09-07 17:30:15-0700,1599525015.61,1.6083333333333332,0.08186201126828542
2020-09-07 20:30:15+0000,2020-09-07 13:30:15-0700,1599510615.61,1.6000000000000003,0.08164965809277261
2020-09-07 16:30:15+0000,2020-09-07 09:30:15-0700,1599496215.61,1.5666666666666667,0.08079466429027216
2020-09-07 12:30:15+0000,2020-09-07 05:30:15-0700,1599481815.61,1.7083333333333333,0.0843685697138191
2020-09-07 08:35:15+0000,2020-09-07 01:35:15-0700,1599467715.61,1.6808510638297873,0.08457279538022039
2020-09-07 04:30:15+0000,2020-09-06 21:30:15-0700,1599453015.54,1.625,0.0822850735755479
2020-09-07 00:30:15+0000,2020-09-06 17:30:15-0700,1599438615.54,1.7958333333333332,0.08650224788344456
2020-09-06 20:30:15+0000,2020-09-06 13:30:15-0700,1599424215.54,1.7625,0.08569568250501305
2020-09-06 16:30:15+0000,2020-09-06 09:30:15-0700,1599409815.54,1.5958333333333334,0.08154327412825385
2020-09-06 12:30:15+0000,2020-09-06 05:30:15-0700,1599395415.54,1.7041666666666668,0.08426561840065286
2020-09-06 08:35:15+0000,2020-09-06 01:35:15-0700,1599381315.54,1.7234042553191489,0.08563664594680045
2020-09-06 04:30:15+0000,2020-09-05 21:30:15-0700,1599366615.25,1.6291666666666667,0.08239049972202163
2020-09-06 00:30:15+0000,2020-09-05 17:30:15-0700,1599352215.25,1.6958333333333333,0.0840593375076334
2020-09-05 20:30:15+0000,2020-09-05 13:30:15-0700,1599337815.25,1.6375,0.08260094833999587
2020-09-05 16:30:15+0000,2020-09-05 09:30:15-0700,1599323415.25,1.7791666666666666,0.08609990966571594
2020-09-05 12:30:15+0000,2020-09-05 05:30:15-0700,1599309015.25,1.7666666666666668,0.08579691784155834
2020-09-05 08:35:15+0000,2020-09-05 01:35:15-0700,1599294915.25,1.7872340425531914,0.08720809162518807
2020-09-05 04:30:15+0000,2020-09-04 21:30:15-0700,1599280215.57,1.6000000000000003,0.08164965809277261
2020-09-05 00:30:15+0000,2020-09-04 17:30:15-0700,1599265815.57,1.7041666666666668,0.08426561840065286
