ID,Name,Lat,Long,cpmtorem,cpmtousv,display,devices,gitBranch,needsUpdate,IDLatLongHash,nickname,timezone
44,Mission San Jose High School,37.5454,-121.933777,0.0036,0.036,1,100000,master,0,1b1c93cefe42048283af76cd0d66c805,msjhs,America/Los_Angeles
45,Mission San Jose HS Outside,37.545255,-121.93361,0.0036,0.036,1,111110,master,0,1d48dbac88df465898d152cd0529b714,msjhs_os,America/Los_Angeles
46,Exploratorium,37.801645,-122.397408,0.0036,0.036,1,111110,master,0,6ec334dd29f1f5d4e7baf6786ebf0af2,exploratorium,America/Los_Angeles
47,LA Area House,34.263953,-118.898144,0.0036,0.036,1,111110,master,0,49f0d6e8963deaad897ceaa78fd28b1d,tyler,America/Los_Angeles
48,Westend,50.11268,8.65874,0.0036,0.036,1,101110,master,0,2187b25cd3685e796deae09c80bfee74,westend,Europe/Berlin
49,Sakata Site,38.931807,139.850245,0.0036,0.036,1,101110,master,0,cdbf4a533720294b220c65870af15332,sakata,Asia/Tokyo
50,University of Washington,47.6539,-122.309382,0.0036,0.036,1,111110,master,0,c9b4b8a7ab224a888dfdd9df59a51ba5,uw,America/Los_Angeles
51,Asaka High School Outside,37.39098,140.350283,0.0036,0.036,1,101110,master,0,d36be415c1f68b3bcffc8eee9879ce78,asaka_os,Asia/Tokyo
52,iThemba LABS (NRF),-34.02514,18.717757,0.0036,0.036,1,101110,master,0,09b33517562c45d010a823c621d2b280,themba,Africa/Johannesburg
53,Denver Area Home,39.840278,-105.093889,0.0036,0.036,1,111110,master,0,6356620630895d636f19cc10f466e46b,denver_home,America/Denver
54,South Charleston High School,38.348251,-81.735449,0.0036,0.036,1,111110,master,0,4a20870eff18bd9c2eb38dfdfbdccc09,schs_wv,America/New_York
55,Chabot Space & Science Center,37.819149,-122.181674,0.0036,0.036,1,111110,master,0,8da15f70bc619ead4fd3d41d6ac63232,cssc,America/Los_Angeles
56,Grabów nad Wisłą,51.3552708631,21.6751880431,0.0036,0.036,1,101110,master,0,b5f6972dec85d2111522ebf9e5d97f42,grabow,Europe/Warsaw
